,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,CR id,Name,Discord
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#YLLVYYRU,TxLast,150673899963678720
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,#8C9VL9PP,<c9>LE JF,595205060481253376
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,#8QY9R28,flo,849334333848158269
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,#2VG00RYLP,突然｜Trakeez™️,729392578994110595
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,#PGVC8GQ0,Rubenso,309761082531250176
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,#LLLGYP82,<c7>BiGBauD,468367804370780170
6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,#UURCCRUY,Arniol,210437339648884737
7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,#88C0G08P2,<c3>yORICK,645593467673903105
8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,#GRRQV88LP,HiPeipers,805824336123527199
9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,#9VRRJCP2,Oscarisback,294396357165449218
10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,#LR2YCJ,Skrelow,244787733762015233
11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,#9P9JRR9YJ,wazdax,753979817988194304
12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,#90QVYRLUQ,TepseurFou,696103355004485724
13,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,#C8898VY,Marius,505491555017031690
14,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,#8GVGQP2P,CrepAuNutella,907996017335603240
15,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,#PGQUL0UQ9,ElToNiNio,434441534180425729
16,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,#2YY0LVQP8,<c2>Lucas,566388948109230102
17,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,#8LV8GYGV,yoann302001,293261324622888961
18,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,#P09UJVJ9,Scratch´,955939874639343646
19,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,#C28G009L,✨LegaCyy™︎✨,705756591957213306
20,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,#JU09V9PR,Tominus,695707388816130098
21,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,#9GQVQ90L8,Arthur Heros,692848767614976110
22,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,#PJGP80UL9,Toto216,629734521952141333
23,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,#8R098JGC,L’an_Tidote,952547603873140776
24,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,#2QLQ0JQGC,Althanos,375363439813459978
25,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,#2PY8GJJUL,Shady,291301765243207681
26,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,#PUPVRPPL,OXBOW,1011546551144947833
27,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,#899QGUVUY,X-Matth-66_,913726150927319050
28,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,#2LRGLPQP,jo EMPIRE man,281498335737675786
29,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,#GC9JLY9VQ,⚪Ⓜ️ALLEZ L’OM⚪Ⓜ,838080157578166302
30,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,#2PV9RPQRP,tom,971471503575093268
31,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,#9Y0QRLVC,Elvin,944624379390742648
32,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,#Y0RPC0PRQ,matys,726773777152606249
33,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,#PCY2G8GQQ,Zayrok,937077298283307118
34,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,#GL0C9U,HM,761622207502745601
35,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,#80C280GY0,Tremyz,847240148563132427
36,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,#9VVVPP8Q,VaaCheneqck,334401266237308938
37,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,#2CYCCJL,tiseb,984590405347729448
38,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,#8QR9VG2LY,Bobo,997915625311703080
39,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,#9YVPG9JC,News,823533430171893770
40,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,#888800U2,Semper,577264211168591892
41,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,#PY89RRGU,diablitosyl,900460292880867448
42,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,#2J9J2GUCC,Stylo.exe,400337038844362762
43,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,#YLYPRYP2G,toulix,963332470810509312
44,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,#YG2V2QVLG,⛩✨Clem_arc-x✨⛩,793120161930543155
45,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,#G909YC8Q,Junior26,704854641732485130
46,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,#YG0V0YVPP,~Eloise27~,824576376668422164
47,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,#G0YVGV88Q,2>kevin❤️txr⚡️,1002274526777851994
48,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,,,,#QQP002U0,Defernox,344064365856555009
49,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,,,,,#GR0VR2VY,LBP Roazhon,430701644041420810
50,50.0,50.0,50.0,50.0,50.0,50.0,50.0,,,,,,,#LRULRYCV,ig:matt_hias_99,841672533472444416
51,51.0,51.0,51.0,51.0,51.0,51.0,,,,,,,,#GP2RJJP0C,lchigo,1017375662258003998
52,52.0,52.0,52.0,52.0,52.0,,,,,,,,,#2L90Y8YP,Binouz,754331542138126356
53,53.0,53.0,53.0,53.0,,,,,,,,,,#9RPU2LGRU,Raffut,1018117350379237416
54,54.0,54.0,,,,,,,,,,,,#PVVGP882U,OrNitoRink,648191357759913985
55,55.0,,,,,,,,,,,,,#P0QLGCGL,222 le donneur,581914787139682305
56,,,,,,,,,,,,,,#9GJULQ200,licryle,312050926317993984
