,CR id,Name,Discord
0,#YLLVYYRU,TxLast,
1,#8C9VL9PP,<c9>LE JF,
2,#8QY9R28,flo ,
3,#2VG00RYLP,突然｜Trakeez™️,
4,#PGVC8GQ0,Rubenso,
5,#LLLGYP82,<c7>BiGBauD,
6,#UURCCRUY,Arniol,
7,#88C0G08P2,<c3>yORICK,
8,#GRRQV88LP,HiPeipers,
9,#9VRRJCP2,Oscarisback,
10,#LR2YCJ,Skrelow,
11,#9P9JRR9YJ,wazdax,
12,#90QVYRLUQ,TepseurFou,
13,#C8898VY,Marius,
14,#8GVGQP2P,CrepAuNutella,
15,#PGQUL0UQ9,ElToNiNio,
16,#2YY0LVQP8,<c2>Lucas,
17,#8LV8GYGV,yoann302001,
18,#P09UJVJ9,Scratch´,
19,#C28G009L,✨LegaCyy™︎✨,
20,#JU09V9PR,Tominus,
21,#9GQVQ90L8,Arthur Heros,
22,#PJGP80UL9,Toto216,
23,#8R098JGC,L’an_Tidote,
24,#2QLQ0JQGC,Althanos,
25,#2PY8GJJUL,Shady,
26,#PUPVRPPL,OXBOW,
27,#899QGUVUY,X-Matth-66_,
28,#2LRGLPQP,jo EMPIRE man,
29,#GC9JLY9VQ,⚪Ⓜ️ALLEZ L’OM⚪Ⓜ,
30,#2PV9RPQRP,tom,
31,#9Y0QRLVC,Elvin,
32,#Y0RPC0PRQ,matys,
33,#PCY2G8GQQ,Zayrok,
34,#GL0C9U,HM,
35,#80C280GY0,Tremyz,
36,#9VVVPP8Q,VaaCheneqck,
37,#2CYCCJL,tiseb,
38,#8QR9VG2LY,Bobo,
39,#9YVPG9JC,News,
40,#888800U2,Semper,
41,#PY89RRGU,diablitosyl,
42,#2J9J2GUCC,Stylo.exe,
43,#YLYPRYP2G,toulix,
44,#YG2V2QVLG,⛩✨Clem_arc-x✨⛩,
45,#G909YC8Q,Junior26,
46,#YG0V0YVPP,~Eloise27~,
47,#G0YVGV88Q,2>kevin❤️txr⚡️,
